State,Year,Labour costs,Depreciation,User cost of capital - Other assets,Other costs,Total,Per person total
NSW,2021,711710,103317,51678,284792,1151497,140.90
Vic,2021,821286,118145,48259,330328,1318018,197.85
Qld,2021,728646,39840,31541,173911,973938,187.48
WA,2021,198523,17827,14205,89307,319862,119.79
SA,2021,257026,13477,10462,88514,369479,208.65
Tas,2021,92514,3736,3444,36523,136217,251.55
ACT,2021,49813,4172,2947,22504,79436,184.10
NT,2021,30545,1830,308,8207,40890,165.84
Aust,2021,2890063,302344,162844,1034086,4389337,170.83
NSW,2020,723334,98222,51897,281255,1154709,142.05
Vic,2020,789662,103404,50897,312277,1256240,188.88
Qld,2020,699775,40362,32013,172358,944509,184.11
WA,2020,188335,17421,13988,93553,313297,118.71
SA,2020,241653,13983,10090,81110,346836,197.16
Tas,2020,81190,3085,2282,29055,115612,215.29
ACT,2020,49761,4133,3019,25613,82527,193.08
NT,2020,29742,1565,272,8205,39785,162.55
Aust,2020,2803452,282177,164459,1003426,4253514,166.66
NSW,2019,686612,30492,32802,333605,1083511,134.66
Vic,2019,775889,44252,27457,347351,1194948,183.09
Qld,2019,620060,39457,30571,172341,862428,170.68
WA,2019,179741,19406,13458,82553,295158,113.25
SA,2019,245608,12940,9139,89218,356905,204.79
Tas,2019,70575,2327,1906,24579,99387,186.98
ACT,2019,40685,3120,2834,13992,60631,143.06
NT,2019,28388,1574,293,8462,38717,157.48
Aust,2019,2647557,153568,118460,1072100,3991685,158.52
NSW,2018,660621,24642,29774,326086,1041122,131.54
Vic,2018,720811,41083,26996,344303,1133193,177.45
Qld,2018,578399,41614,31297,170237,821546,165.47
WA,2018,176210,17692,13232,77620,284754,110.17
SA,2018,237944,13644,9954,80964,342506,198.20
Tas,2018,61542,3151,2026,20601,87320,166.43
ACT,2018,38097,3191,2707,12687,56683,136.28
NT,2018,27798,1785,325,8075,37983,153.95
Aust,2018,2501422,146802,116312,1040572,3805107,153.61
NSW,2017,620601,21794,25924,286280,954599,122.42
Vic,2017,652634,33953,25819,310935,1023342,163.89
Qld,2017,505558,37931,30613,174245,748346,153.23
WA,2017,170993,16547,12741,73485,273767,106.62
SA,2017,225003,11435,6461,80966,323865,188.63
Tas,2017,53645,2876,2078,18941,77540,149.39
ACT,2017,34319,2042,1756,15277,53394,131.38
NT,2017,27308,1604,305,7211,36428,148.66
Aust,2017,2290061,128182,105697,967339,3491280,143.17
NSW,2016,692104,22592,19787,236560,971043,126.58
Vic,2016,586261,29138,23878,235801,875079,143.62
Qld,2016,490646,39645,28150,167082,725525,151.00
WA,2016,162231,15748,11387,71647,261013,102.45
SA,2016,203239,11355,5640,73019,293253,171.90
Tas,2016,52146,2841,2267,17607,74860,145.16
ACT,2016,34024,1586,1397,14108,51115,128.15
NT,2016,21921,1281,274,6849,30324,124.23
Aust,2016,2242572,124186,92780,822674,3282212,136.85
NSW,2015,655582,19747,17338,263155,955823,126.40
Vic,2015,508699,28341,21329,235467,793835,133.25
Qld,2015,465060,35907,27902,145949,674817,142.15
WA,2015,149407,15681,9814,69138,244040,96.51
SA,2015,182481,10060,5071,71941,269554,159.21
Tas,2015,49568,2954,2145,17077,71743,139.57
ACT,2015,31734,1412,994,14606,48747,124.36
NT,2015,20767,1497,246,6593,29103,119.89
Aust,2015,2063299,115599,84839,823925,3087662,130.61
NSW,2014,588455,19424,13939,286790,908608,121.88
Vic,2014,449789,32734,20424,232543,735490,126.10
Qld,2014,433721,39548,29219,143477,645964,137.87
WA,2014,141771,15491,9269,70480,237011,94.72
SA,2014,183855,9897,5020,68891,267663,159.51
Tas,2014,49065,3151,2210,18283,72708,141.73
ACT,2014,30841,1284,879,15460,48464,125.45
NT,2014,19794,1866,294,6584,28538,117.78
Aust,2014,1897290,123393,81253,842509,2944446,126.38
NSW,2013,570722,20274,14328,248784,854107,116.15
Vic,2013,428114,29216,19507,228859,705697,123.60
Qld,2013,430557,51847,29488,127925,639817,138.75
WA,2013,129324,14940,8770,72676,225710,91.85
SA,2013,152950,8773,4801,69677,236201,142.03
Tas,2013,47109,3193,2155,16122,68579,133.99
ACT,2013,30216,1184,886,18450,50736,133.58
NT,2013,20876,1773,373,6180,29201,122.32
Aust,2013,1809869,131199,80308,788673,2810048,122.56
NSW,2012,575995,22325,14860,234333,847514,116.76
Vic,2012,429575,32877,17636,216548,696636,124.58
Qld,2012,434339,44801,30847,137535,647523,143.30
WA,2012,110984,11369,7337,66328,196017,82.15
SA,2012,212840,9638,4955,62721,290154,176.15
Tas,2012,43130,3475,2457,16678,65740,128.46
ACT,2012,27237,981,641,13734,42593,114.48
NT,2012,19461,1667,365,5155,26648,114.39
Aust,2012,1853562,127133,79099,753033,2812826,124.89
